country,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year
Iran,-0.4440268929009245,0.43177183745439807,-1.4553868378668557,0.28417985390133926,-0.2966999000789912,0.6514387857908341,0.06724220512763587,-0.7635641256121449,2.4455065364799666,0.5027005952267668,-1.1781865890298717,-0.8178668526676187,1.1058749537639754,0.9171289578604317
Iraq,-0.6804242269908776,0.26789384073322364,-0.4699170237806135,-0.22805298021438855,-1.5206467463124251,-0.6410586897196744,0.23828920542292517,-1.6892004205619806,2.9880139173150404,-0.2008979488568402,-1.5192889277127388,-1.1836217985678537,0.9010930597485918,1.0210232374422683
Ireland,1.4576501231430843,1.3425912270433151,1.2989693243466713,1.0715652541295102,1.1859883145171635,1.8291290635238517,-1.3630781166823565,1.2157408145239392,-0.5776114383818644,-0.06635321364151157,1.3772346128122814,1.5287545051832463,-0.47925347377175304,-1.1082966279557505
Israel,1.6028132169838256,0.9470695629502441,0.6872074777155555,1.1808821453652245,-0.17009556173091772,0.8263231742024815,0.6019863582820437,-0.25567423657727767,0.7795407365921768,-0.6380218047350562,-0.15660558685790738,0.993512938902396,-0.6150617366383312,-1.2204326912253707
Italy,0.722616284398612,1.0851401911496694,0.7525629276306727,1.2481398138940272,-0.6502310443295335,0.029268515874628198,0.9200670537471666,-0.1745098835053455,0.6091230515291585,-1.0868263384747712,0.9234142756100474,0.41626841663346675,-0.22287501088042322,-0.6793054588479325
Ivory Coast,-1.1853863734027281,-0.9965551803063285,-1.0906624406763217,-2.1302670474136796,0.31681075114603413,-0.35382848532896854,-0.013218720862356648,-0.3512878243552718,0.501778338627522,0.7965207916352999,-0.6308656749085758,-0.5954243976835054,-0.08446650434561605,0.8082981654581906
Jamaica,0.19779257788104954,-0.12550144614932346,0.5436014327587655,0.35331224576790343,0.41583852454421677,-0.15909012655583518,0.8629635986950515,0.5973647121764861,0.058551109608332735,-1.1269236709266326,0.4990611457161468,-0.10462708018829546,1.260086759511772,0.4716054292720637
Japan,0.5510612940963984,1.0739068678441321,0.8335079170729035,1.4891403418070277,0.5464442638156172,-0.7416803980507723,-0.21711760917179268,0.5693027776184975,-0.9602668294366413,-1.0570246595295318,1.1957491943507987,1.3009657293220926,-0.2201809674303178,-0.5965914817422194
Jordan,0.042992096472621436,0.026256976113157356,0.33340515110426333,0.20362004110794896,0.06422778600650081,-0.6285064452391921,-0.12088490909316571,-0.5283248132522882,0.415780972412192,-3.350343478888483e-16,-0.4532827671086688,0.21673254755049046,0.8671247323527052,0.3599465669021877
Kazakhstan,0.24700343420255144,0.6702900158287036,0.602201548600291,-0.0851770312697771,0.4801573648343113,-1.2412024614539325,0.35377015292143416,-0.15634587772116026,-1.1700575350606872,1.4919653509074116,-0.35363496199914546,-0.5544519986768904,-0.27881423853759435,-0.46692691382529167
